subject_id,devoicing_preference
cw-10,-0.16666666666666666
cw-101,0
cw-105,0.16666666666666666
cw-107,0.13043478260869565
cw-108,-0.5833333333333334
cw-109,-0.5416666666666666
cw-117,0.18181818181818182
cw-135,0.20833333333333334
cw-136,0.4782608695652174
cw-139,0.4166666666666667
cw-14,-0.2916666666666667
cw-143,-0.041666666666666664
cw-147,0.08333333333333333
cw-148,0.375
cw-152,1.0833333333333333
cw-154,-0.25
cw-159,-0.3333333333333333
cw-161,0.25
cw-165,-0.7916666666666666
cw-167,0.5416666666666666
cw-176,-0.041666666666666664
cw-181,1
cw-189,0.20833333333333334
cw-19,0.9090909090909091
cw-191,0.6666666666666666
cw-196,0.4166666666666667
cw-199,0.34782608695652173
cw-204,-0.16666666666666666
cw-206,-0.4166666666666667
cw-211,0.7916666666666666
cw-227,-0.041666666666666664
cw-230,-0.20833333333333334
cw-231,0.125
cw-244,-0.4166666666666667
cw-254,-0.16666666666666666
cw-260,0.3333333333333333
cw-266,0.08333333333333333
cw-271,0.045454545454545456
cw-279,-0.7083333333333334
cw-287,-0.375
cw-30,1.2272727272727273
cw-31,0.75
cw-32,-0.08695652173913043
cw-34,-0.041666666666666664
cw-45,0.4166666666666667
cw-54,0
cw-63,0.7083333333333334
cw-76,0.20833333333333334
cw-78,-0.125
cw-82,0.2916666666666667
cw-92,0.625
sone-127,0.5217391304347826
sone-128,0.2608695652173913
sone-131,0.5
sone-149,0.4583333333333333
sone-151,1.6818181818181819
sone-170,0.625
sone-177,0.13636363636363635
sone-24,0.4583333333333333
sone-25,0.4166666666666667
sone-26,0.08333333333333333
sone-34,0.391304347826087
sone-36,-0.875
sone-70,0.875
sone-71,-0.3181818181818182
sone-72,0.2916666666666667
sone-91,-0.041666666666666664
